screen_name,name,location,created
_AyoadeJNR,Ayo💙🍥,,2020-11-15
FrinaryK,Frinary Kithinji,,2020-11-15
beardesque,Yusuf,,2020-11-15
yzygamer,LE GAMA,Ivory Coast,2020-11-15
TairuNurudeen,Nurudeen Tairu,,2020-11-15
Habiola17750376,Habiola,Nigeria,2020-11-15
Lybanicku,Sebas Lybanicku,"Jakarta Barat, DKI Jakarta",2020-11-15
Jertynooo,JDIV,"Paris, France",2020-11-15
sadiqsabo,Ferocious WOLF,BUSH CAMP,2020-11-15
DembaPete,Petey,London,2020-11-15
dantecilino,dantecilino10,,2020-11-15
TheKitmanUK,TheKitman.co.uk,"Bristol, England",2020-11-15
mayle_jill,jill mayle,"Chelmsford, England",2020-11-15
Mouad_CWW,Mouad,,2020-11-15
netrising1,nnaemeka ken,"Lagos, Nigeria",2020-11-15
ebeycoyb4,PHISH,,2020-11-15
francisthealien,F.T.A,the pineapple under the sea,2020-11-15
uygaraluclu97,Uygar Walker,,2020-11-15
Elite_clubb,BET 365 - TIPSTER FIXING,naples ,2020-11-15
AtTheBridgePod,At The Bridge Pod: A Chelsea FC Podcast,United Kingdom,2020-11-15
Jennykeane6,Jenny keane,,2020-11-15
talkchelsea,Talk Chelsea,"London, England",2020-11-15
rebootonline,Reboot,London and Hertfordshire,2020-11-15
neiltonpentre,Neil Richard Davies,,2020-11-15
ThatsMeFlawless,Mr TakeNote,Manchester,2020-11-15
GreigSar1,Greig Sarath 😎,"Good old St.Ives, Cambs.",2020-11-15
RoryMcAnuff,McChinnes,,2020-11-15
monstarcfc,monstarCFC,"City of London, London",2020-11-15
CamTayylor,Cameron,,2020-11-15
PaulNagle3,Paul Nagle,Everton FC,2020-11-15
andoh_poku,D£NARD🧯,,2020-11-15
TFTMedia1,Football Terrace FC,"South East, England",2020-11-15
BennyHi76432294,Benny Hill,,2020-11-15
ArahGh,Fear_of_God🇬🇭🇳🇬💫,"Tamale, Ghana",2020-11-15
grandpasaypenis,im bleeding out,stamford bridge,2020-11-15
RomanUncle,Roman Uncle,,2020-11-15
DidsRT,Didsbury RT,Didsbury,2020-11-15
SteveP37,Steve Palmer,,2020-11-15
te_dd_,ted,,2020-11-15
_60n7,•,,2020-11-15
RealCheshireSet,TheRealCheshireSet,"White Nancy, Cheshire. UK.",2020-11-15
Juliandh10,Julián.,,2020-11-15
vietto21,ok4,,2020-11-15
HelloWilmslow,Hello! Wilmslow,"Wilmslow, Cheshire. UK",2020-11-15
cjplays13,cjplaysfm,"Stoke-on-Trent, England",2020-11-15
KickItOutRYG,Raise Your Game,England,2020-11-15
Mosesfixedodd_,Mr Moses Okafor,"Lagos, Nigeria",2020-11-15
CynthiaAdelek14,Cynthia Adeleke,,2020-11-15
kinadunda,Kitenesi,"Acapulco de Juárez, Guerrero",2020-11-15
Lampardsleftnut,Frank Jr,"London, England",2020-11-15
Prodigy_1K,~,London,2020-11-15
depp05,Deep Thakker,,2020-11-15
