_boulah,Egbon Of Canada 🇨🇦,RT @NnamdiOnuma: How do I explain to my kids that we signed Maguire for 80m and sold Rafael for free..#ManchesterUnited #OleOut https://t.c…,13,"Melbourne, Victoria"
Barry3271,Murphy Barry,"On paper this a good Man Utd side  with quality players !
Unfortunately we don't play on paper ! ✋
#ManchesterUnited",0,Netherlands
KofiNtori,Bra Kofi,RT @TokicoV: @Arsenal #ManchesterUnited is not a team https://t.co/pZE9qytQep,1,Accra Ghana
SanjayNarsee,Sanjay Narsee,“ And that’s how football is” stop saying that Ole... we know how football. Currently we are crap and clueless.Ackn… https://t.co/PYxqZlWGxL,0,
rookiephenoms,The Rookie Phenoms Podcast,"#ManchesterUnited catch a huge break with outcome of #RBLPSG. They hold tiebreaker over PSG and RBL, should there b… https://t.co/vtEJVpiGN6",0,
ShottyChelsea,Chelsea’s girl💙⚽️ 💡,@justfrankleen @DannyWalta He’s asking you guys shey it’s you people pushing the agenda of she ignore she ignore up… https://t.co/IvqNah22d6,0,Lagos Nigeria 
DanieleRaponi,Daniele Raponi Dany Sport Notizie,"#IstanbulBasaksehir 2-1 #ManchesterUnited #IBFKMUN #BasaksehirManchesterUnited
#Lipsia 2-1 #Psg #RBLPAR #LipsiaPsg… https://t.co/65bACyiTYj",0,Roma
CitizenOneill,Martin,"I don’t know if it’s bad management, bad players or bad atmosphere but something needs to change before this season… https://t.co/GSAwlj51l8",0,
Wale_jn,David,"RT @KelechiAFC: Manchester United; zero philosophy, zero defensive awareness, ZERO PENALTIES AWARDED, zero philosophy, zero game plan. JUST…",66,
samsesin,Sam✌️,"Playing ""theater of the I-get-to-make-stuff-up...""

I declare Manchester United are 2020 FA cup Champions! (They di… https://t.co/CnUXH8GQqY",0,
miccze3,Miccze,What kind of defense is this 🤦‍♂️ #CuppyMUFC #CuppyDat #MadeinLagos #Election2020 #ManchesterUnited #ManUnited https://t.co/48flUZVNMu,0,"Abuja, Nigeria"
OhKayRayan,Rayan,"Can someone explain to me, Why are we experimenting with Our starting 11 at a stage like this , You could've just p… https://t.co/ZZmNzaHBSe",0,
BillyNomates0,BillyNomates0,The shape is called Ole attack. #mufc #manutd coaching staff should have a long look at themselves in the mirror. I… https://t.co/zj3kQNqSze,0,"Wales, UK"
sheyitokz9,🔰Oluwaseyi🔰,"Juventus is showing the no mercy badge
#Juventus 
#OleOut #olesatthewheel #ChampionsLeague #ManchesterUnited https://t.co/FzvJ2x0IQa",0,SoakAway
big_saul_,gyangster gyalizz👑,Today is such a bad day because of #ManchesterUnited I lost a lot of money,0,Somewhere on earth 
KashPatel_,Kash,How long can Ole survive? #ManchesterUnited #manutd #ole #olesatthewheel,0,"London, England"
thelivingmajor,Made In Lagos 🇳🇬,"RT @KelechiAFC: Manchester United; zero philosophy, zero defensive awareness, ZERO PENALTIES AWARDED, zero philosophy, zero game plan. JUST…",66,"Lagos, Nigeria"
TheKitmanUK,TheKitman.co.uk,"Checkout this 1992-93 Manchester United Jacket (M)!
#1992-93 #Jacket #ManUtd #ManchesterUnited #MUFC #Umbro 
Buy No… https://t.co/BcGaQnxdQe",0,"Bristol, England"
matt_hayhurst,Matthew Hayhurst,Norwegian P.E. Teacher looking for work around the Manchester region. All roles considered. #MUFC #OleIn #oleout… https://t.co/2omJup3XqX,0,
Chukwunaeme1,Chukwunaeme,"RT @KelechiAFC: Manchester United; zero philosophy, zero defensive awareness, ZERO PENALTIES AWARDED, zero philosophy, zero game plan. JUST…",66,"Abuja, Nigeria"
RankingTrend,trend_ranking_bot,"Worldwide Twitter trend ranking 
1.#Wisconsin
2.#MUFC
3.#armys𓆗
4.#CHEREN
5.#Sadakatsiz
6.#conferenzaconte
7.… https://t.co/vhw5I949Nc",0,
MardiGras001,кιиg ʝυℓιєи 🇳🇬,RT @NnamdiOnuma: How do I explain to my kids that we signed Maguire for 80m and sold Rafael for free..#ManchesterUnited #OleOut https://t.c…,13,Guangdong
Thebigkickoff1,Thebigkickoff,"Take a listen to our discussion on Ole Gunnar Solskjaer in our football podcast.

Is he the right man to bring Unit… https://t.co/3e7DMUaHWx",1,"Dublin, Ireland"
RealNasasira,NASASIRA ARNOLD 🇺🇬,"RT @Charlzmich: To all Man United Fans!!! 
#ManchesterUnited 
#UCL 
#ManUnited 
#OleOut 
#United",1,Uganda 🇺🇬
james_kilbride7,james,Serious decisions need to be made . #ManchesterUnited,0,
prestokkip,prestokipp,"@hany6527 Man utd paid €88 million euros for Harry Maguire...

Istanbul Basaksehir Squad Value: €86.2 Million… https://t.co/l6mru5nLP4",0,
dr_codegod,Code God,"@ManUtd dey bleed, @ChelseaFC  dey freeze,  adey rhyme basa becos Ejust dey be.
#ChampionsLeague #ManchesterUnited #chelsea #Punchline",0,"Accra, Ghana"
prestokkip,prestokipp,"RT @prestokkip: @SivaUtd Man utd paid €88 million euros for Harry Maguire...

Istanbul Basaksehir Squad Value: €86.2 Million
#ManchesterUni…",2,
Zandiezel,Zanda,"RT @prestokkip: @SivaUtd Man utd paid €88 million euros for Harry Maguire...

Istanbul Basaksehir Squad Value: €86.2 Million
#ManchesterUni…",2,Johannesburg 
rogwalker,Roger Armand Walker,#ISTMUN The farce that is #ManchesterUnited goes from bad to worse. I thought we'd reached rock bottom in the… https://t.co/yb6hhLMlUT,0,"Lichfield, England"
prestokkip,prestokipp,"@SivaUtd Man utd paid €88 million euros for Harry Maguire...

Istanbul Basaksehir Squad Value: €86.2 Million… https://t.co/9LV0GpPiaX",2,
prestokkip,prestokipp,"Man utd paid €88 million euros for Harry Maguire...

Istanbul Basaksehir Squad Value: €86.2 Million

 #OleOut… https://t.co/Z1QwhpqbNm",0,
Keepitr73976651,The man in black....and white.......🎸,"#ManchesterUnited need to get #Pochettino before #PSG do

#OleOut",0,"Sussex, England, UK"
ShottyChelsea,Chelsea’s girl💙⚽️ 💡,"Chelsea be giving me joy sha🤣🤣🤣🤣where are those alaso pupa sef
#ChampionsLeague 
#CHEN 
#ManchesterUnited",0,Lagos Nigeria 
hacke123tt,Jamie Hackett,Ole's problems are mountaining at @ManUtd this is where the metal of manager is tested where good managers find the… https://t.co/Y93AlDBvzA,0,
praadnyawadke,praadnya wadke,Harry Mcguire defending for #ManchesterUnited https://t.co/1o54mIFmCD,0,"Mumbai, India"
flyingeze,Flying Eze,"Van de Beek, Solskjaer reaction after Manchester United loses in Turkey
https://t.co/9Mrf4jjR7w
 #-PremierLeague… https://t.co/ulXfLXjZX3",0,
ayushsingh_1812,Ayush Singh,We are shit #ManchesterUnited,0,"Pune, India"
mattyyallen92,matty,Ole Gunnar solskjaer has no clue tactically it’s not a poor Man Utd team it’s a poorly coached Man Utd team united… https://t.co/lCypqHMa1a,0,tamworth
LoriAnd81733858,Lori Anderson,"#ManchesterUnited I’m supposed to working, but all I can think about is you dominating me. 🍑 https://t.co/1HylOtrczy",0,
iMarc_Wolves,Marc,@OGold80 Anything involving #ManchesterUnited,0,
Tochukwutocci,Enwereuzor Tochukwu,"RT @KelechiAFC: Manchester United; zero philosophy, zero defensive awareness, ZERO PENALTIES AWARDED, zero philosophy, zero game plan. JUST…",66,
DanETee80,THFC*__*DANNY,"You know that thing your always saying? Yeah?

Yeah, well it's stupid.Stop.

#ManchesterUnited #ChampionsLeague… https://t.co/LRynG2OGcV",0,"Lincoln, England"
wsportsweekly,World Sports Weekly,"Top 5 managers to replace #OleGunnarSolskjaer according to SkyBet.

#UCL #Basaksehir 2 - 1 #MUFC

1.… https://t.co/aSmdXKm86i",0,"Carlow, Ireland"
_khadar_,Khadar™️,"We love to see it
#OleOut #ManchesterUnited #Pochettino https://t.co/wvUq23slwd",0,Above Antarctica
rickypatel26,Ricky,"After series of poor performances, tactics, selections &amp; results, Who does the fans want to replace #Ole as @ManUtd… https://t.co/Og0gGqLmMl",0,
ryzee46,ryz,I dont know what Is a bigger fraud mps getting paid this much money or Manchester Uniteds defence being paid all th… https://t.co/qu0BmooC6C,0,
rhotymin,Sir Paulo,"Ole Gunnar Solskjaer is the worst manager in the Premier League and I’m not even joking.
#MUFC #ManchesterUnited",0,"Nigeria,lagos state"
BoluOG,#EndSARS,"RT @xy_tinny: @Babablueh ole on the wheels of steel 😂😂 
#UCL #ManchesterUnited https://t.co/5wyLqh3JhG",5,md
johnbestie,Elendu John,@cuppymusic  and @burnaboy what's up with #ManchesterUnited ...na so una go de receive heartbreaks 💔💔 nd disappoinment week in week out...?,0,"Abuja, Nigeria"
Franckdasdik,Franck Stephane Das,RT @Bolt_Global: #ManchesterUnited switch focus back to the #ChampionsLeague on Wednesday evening with a trip to Turkish champions #Istanbu…,75,Cameroon
Vazquez_Pollo10,FiDe ⚽,"RT @GolAlerta: #ChampionsLeague #UCL
⭕️ FIN del Partido
#IstanbulBasaksehir 2⃣🆚1⃣ #ManchesterUnited
⚽️ GOLES
1-0 (13') BA
2-0 (40') VISCA
2…",1,
fatso4real,FatsoZ,VERY STRANGE that Manchester United who were the favorites to win their CL tie #ManchesterUnited lost to a lowly team...,0,"Cambridge, England"
horfissial,Horfissial of Eti Osa #AFC,"Should this still be a comparison?

Gabriel Magalhaes vs Harry Maguire

#MUFC #ManchesterUnited #afc… https://t.co/BSCcX6bKIk",0,
jamex_360,EJ_360,"Since D. J cuppy leave Arsenal their life don dey better, but as she come join Manchester united life have not been… https://t.co/a0GZBaHYeA",0,
pictonjullow,tony,Man utd really are shite aren't they. Or has demba ba got better with age lol. #ManchesterUnited #ChampionsLeague #demba #COYS #THFC,0,Lowestoft 
The_NinjaKnight,NINJA KNIGHT 🇮🇪,MANCHESTER UNITED TO SACK OLE GUNNAR SOLSKJAER AND REPLACE WITH MAURICIO... https://t.co/qfLNX4E6D3 via @YouTube… https://t.co/sZem1vxqcC,0,Ireland
tee_muhammed,Tee-Jay🇳🇬🇳🇬,"Na instabul @ManUtd no fit beat. Na who wan beat?
#ManchesterUnited",0,
Elkashash_88,Ahmed,"Unfortunately Keane was telling the truth when he said Those Players will cost Solskjaer his Job 
If Ole still want… https://t.co/kodeWXIVz8",0,"Port Said, Egypt"
kikibean23,Kat S,RT @saddleworthbake: Manchester Utd birthday cake for Lukas😋⚽️ #manchesterunited #mufc #birthdaycake #football #footballcake #9thbirthday #…,1,
BDoug79,BlakeDoug79,"Please don’t sack Ole Man U , the Lols are great for my morale during Covid #ManchesterUnited #Reddevils",0,"Sydney, New South Wales"
andresvillalvag,Andres Villalva,"So, @ManUtd lost to the powerful team of Basaksehir!!!! Thanks #OleOut !!!!! PLEAAAASE FIRE THIS IDIOT and MOST OF… https://t.co/JVwYiqEM0r",0,"-0.183343,-78.493068"
GodChil61861881,Moses,Coaches dat do better than ole get sack. Am just waiting if we will continue with this heart attacks. #Oleout… https://t.co/55g4lSJ8fB,1,"Lafia, Nigeria"
TokicoV,LOYAN TOKICO Jr,@Arsenal #ManchesterUnited is not a team https://t.co/pZE9qytQep,1,"Johannesburg, South Africa"
Footballjustin_,Justin,2nd goal Mata got pushed off the ball like a year 7 does vs a year 11 &amp; we got caught in transition #IBFKMUN… https://t.co/cFDD4LetXy,0,
shotta_kh,Business Launches soon 🇹🇹 🇦🇪,Poor recruitment The end #ManchesterUnited,0,"ï¿½T: 10.593209,-61.295356"
FootyZoneNet,FootyZone.net,"RT @anadoluagency: #Football: Basaksehir claim 1st #ChampionsLeague victory

Turkish side defeat England's #ManchesterUnited with 2-1 score…",5,
Footballjustin_,Justin,1st goal was down too poor management/communication on &amp; off the pitch #IBFKMUN #ManchesterUnited #mufc #ManUnited #oleout,0,
AndySuperMario,Andy Super Mario,"@LiamPaulCanning Sell manchester united!!!!!
He is the PROBLEM
#ole_out 
#ManchesterUnited",0,"Nairobi, Kenya"
PrideGunner,Gunner Pride,Oh boy....See ya Ole #ManchesterUnited,0,"Greater Toronto Area, Canada "
adeg_josh,Adeg Josh🇺🇸l🇨🇦,"RT @KelechiAFC: Manchester United; zero philosophy, zero defensive awareness, ZERO PENALTIES AWARDED, zero philosophy, zero game plan. JUST…",66,
UnlyshedFaruk,Bauchi Legend,RT @bigboydecourt: Man Uniteds new formation for todays game. And people say ole is a tactical genius. #ManchesterUnited #ChampionsLeague h…,1,Bauchi
UnlyshedFaruk,Bauchi Legend,"RT @anadoluagency: #Football: Basaksehir claim 1st #ChampionsLeague victory

Turkish side defeat England's #ManchesterUnited with 2-1 score…",5,Bauchi
lekaylly,☝️Lógèlé,RT @NnamdiOnuma: How do I explain to my kids that we signed Maguire for 80m and sold Rafael for free..#ManchesterUnited #OleOut https://t.c…,13,Up there👆in the zenith.
MUFCJay2,Jay 🇬🇧🇵🇰🇩🇰,"I’m not Ole Out, but I’m losing faith with each defeat. This one in particular stings. #MUFC #ManchesterUnited",0,"England, United Kingdom"
shahinali102,MD Shahin Ali,"RT @anadoluagency: #Football: Basaksehir claim 1st #ChampionsLeague victory

Turkish side defeat England's #ManchesterUnited with 2-1 score…",5,"Dhaka,Bangladesh"
omobolajiokedij,# ENDPOLICEBRUTALITY ✊🏽,"RT @KelechiAFC: Manchester United; zero philosophy, zero defensive awareness, ZERO PENALTIES AWARDED, zero philosophy, zero game plan. JUST…",66,Nigeria
ChrisEddie11,Chris Eddie 🇬🇩,Man utd are dun out ere #notacticsjustvibes #ManchesterUnited #ManUnited,0,"England, United Kingdom"
EfaCynan,Shaun Holdsworth,@Evra What are your thoughts about United’s performance tonight? It’s becoming concerning. #poor #poorbodylanguage… https://t.co/DwqmrUvjvc,0,Llanrug
AliceTalksFooty,Alice Talks Football,"Post Match Reaction😒⬇️

Man Utd Are Rubbish | 5 Things We Learned From istanbul basaksehir 2-1 Man Utd… https://t.co/1dPoaRNbgX",0,"Cambridge, England"
Muhdmuktar10,𝔻𝕖𝕝𝕚𝕘𝕥 𝕛𝕣🦁,"beating Leipzig na beans 😆...
same United loosing to a wifi password team #ManchesterUnited",0,Outer space
anadoluagency,ANADOLU AGENCY (ENG),"#Football: Basaksehir claim 1st #ChampionsLeague victory

Turkish side defeat England's #ManchesterUnited with 2-1… https://t.co/2KwCflWbSL",5,Ankara - TURKEY
dumson23,Dumson,"RT @KelechiAFC: Manchester United; zero philosophy, zero defensive awareness, ZERO PENALTIES AWARDED, zero philosophy, zero game plan. JUST…",66,"Lagos, Nigeria"
EfaCynan,Shaun Holdsworth,"The body language shown by many of the United players was not great. Flapping arms, limited movement, flicks that d… https://t.co/lQJ1gd18rH",0,Llanrug
JanaMitaa,Jana Mitaa,"#basaksehirspor  vs #ManchesterUnited 
FULLTIME SCORE 👇 https://t.co/U5Cv0PhUjy",0,"Mombasa, Kenya"
JohnSaltyjohn,John S Alty,I think 2047 will be an important year. #ManchesterUnited will win the Premiership for the first time since Sir Ale… https://t.co/Ukbq8KOe7X,0,UK
1004Ziyan,"Hope ""18 Again"" to ""Search"" My ""Start-Up""","That's what you get when PE Teacher running your beloved club. Abysmal.

#OleOut #WoodwardOut #GlazersOut #mufc… https://t.co/4ByWoEJCy9",0,In My Universe
Premiumsportbar,PREMIUM SPORTS BAR,Defense caught grazing in Istanbul 😅😅😅 #ManchesterUnited #Turkey #solskjaer https://t.co/vPX4X6R2Mc,0,"Cape Town, South Africa"
mcetyn,Mehmet Çetin,"Ooo Ole Solskjaer
My Ole Solskjaer
You make me happy
When you are fired!
Please do our Solskjaer away!
@ManUtd… https://t.co/OGoyzggRDe",0,"Adana, Türkiye"
Ryanbisby8181,Ryan Bisby,"All these ppl waffling about how Bruno what “shite” don’t realise that we didn’t buy him to do the simple shit, we… https://t.co/Buy96bkX1x",0,North wales
manojprasath94,Manoj Prasath,"This Guy was 🔥 @orafa2 ❤️

#ManchesterUnited #MUFC https://t.co/sPWMvDjMcY",0,Sri Lanka
RizqOfficial,RizQ✨,"I believe that the energy you put out in the world, you get back.💜🧸..
.
.
.
.
.
.
#IBFKMUN #OleOut… https://t.co/rG4JcC0dcg",0,"Lagos, Nigeria"
barrytilks,Naradar Tillekeratne,"RT @SheDevilsUnited: Red shirt is to be given away when we reach 2,250 YouTube subscribers. 

Beige is going when we reach 2,500 subscriber…",4,
utdsnaps,utdsnaps,"Great to see you @orafa2 🔴

We miss you and your passion ❤️

#ManchesterUnited #MUFC https://t.co/uhPl9TC85Y",0,
FabetSmart,Fabet_smart,"Top Twitter Trend Today: #ManchesterUnited 
⭐ Currently trending at #️2 with 52K tweets⚡️
⭐ Started trending about 53 minutes ago.",0,
TanjidAyon,Tanjid Islam,"How it's turning out for Trump 😂

#Election2020 #ManchesterUnited #ManUtd #ChampionsLeague #USElection… https://t.co/23Wm8170FG",0,"Toronto, Canada"
SAM_JIGGA,SAM JIGGA,"""If things go well, Ole and Trump should be looking for job next week
#TrumpCollapse 
#ManchesterUnited",0,
