screen_name,name,text,retweet_count,location
erreele7,(TheCoDyX),"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,España
FEPEMAC,FEPEMAC,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Rambla Guipuzcoa 120 08020-BCN
isib06,Isaac B,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136, USA
_SaraiDiaz,Magda sarai,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Panama
okaskami_,𝔬𝔨𝔞𝔰𝔨𝔞𝔪𝔦.𝔣𝔦𝔯𝔰𝔱𝔬𝔣𝔥𝔦𝔰𝔫𝔞𝔪𝔢🇸🇱,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,in bed.
zZRMCF8602,Elnota,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Chernobyl
sergioespsan,RUBÉN CASTRO EL 9 DE ESPAÑA MYHYV.⚪⚫🔴⭐🔴💚,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,LIGA SMARTBANK
Alhaji_McCoy,McCoy,"RT @RMpIay_2: Sergio Ramos is giving Hakimi the taste of not being in his team 🙆🤭

“Dont be a **** and get up” 

#realmadrid https://t.co/u…",16,
ad_rmcfx,A,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,1902
Michelle_DeAnda,Michelle De Anda,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,"Ciudad De México, México"
Solofutbolfemen,TS futbol femenino,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
Abraham_ESP96,Abraham 🇪🇸,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,España
MaketoLari,Maketo Lari,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,
Estherrg7,7⃣eStHeR⚽️🎶💜,"RT @realmadridfem: 85' | 3-0 | ¡¡¡¡GOOOOOOOOOOOOOOL DE @KosovareAsllani!!!!
#RealMadrid | #HalaMadrid https://t.co/jbJVgRft7t",136,Madrid
